pid,name,kd,avgscore
102,Astra,0.98,172.5
102,Sage,1,182.9
103,Cypher,1.37,234.4
103,Sage,1.35,223.7
103,Killjoy,1.16,207.3
104,Astra,1.25,220.8
104,Omen,1.14,215.7
104,Viper,1.23,218.9
105,Jett,1.11,235.2
105,Reyna,1.12,232.4
105,Sage,1.31,221.6
106,Jett,1.3,258.8
106,KAY/O,1.22,207
106,Raze,1.27,262.2
112,Jett,1.37,275.4
112,Chamber,1.5,267.7
112,Reyna,1.19,268.4
114,Sova,1.2,231.9
114,Fade,1.14,242
114,Sage,1.07,209.6
115,Raze,1.14,246.2
115,Jett,1.28,251.8
115,Reyna,1.21,244.2
116,Viper,1.01,197.7
116,Cypher,1.08,200
116,Killjoy,1.24,222.6
117,Astra,1.09,194.3
117,Jett,1.34,233.7
117,Killjoy,1.15,216.6
120,Astra,1.05,189.3
120,Omen,1.12,213.3
120,Viper,1.06,211.7
121,Jett,1.19,234.5
121,Raze,1.25,258
121,Reyna,1.34,239.9
122,Skye,1.02,195.9
122,Jett,1.12,229.8
122,Reyna,1.23,260.5
123,Sova,1.03,197
123,Sage,0.98,180.5
123,Cypher,0.9,155.4
124,Raze,1.19,249.9
124,Chamber,1.33,232.3
124,Jett,1.18,263.9
125,Killjoy,1.12,210.7
125,Cypher,1.16,209.1
125,Sage,0.99,191
127,Breach,1.32,211.4
127,Skye,1.24,203.9
127,KAY/O,1.04,186.2
128,Sova,1.12,195.7
128,Sage,1.16,219.5
128,Fade,1.06,193.7
129,Jett,1.54,275.3
129,Viper,1.33,228.5
129,Astra,1.33,216.8
130,Jett,1.3,235.3
130,Raze,1.4,270.5
130,Sova,1.21,196.9
131,Jett,1.24,248.3
131,Chamber,1.45,244.3
131,Omen,1.14,213.8
132,Jett,1.26,269.8
132,Raze,1.06,235.1
132,Skye,0.5,125
136,Sova,1.24,204.1
136,Jett,1.15,235
136,Astra,1.24,200.8
137,Cypher,1.3,216.8
137,Killjoy,1.31,218.2
137,Viper,1.19,210.3
138,Sova,1.17,211.3
138,Omen,1.01,212.2
138,Fade,1.01,192
139,Jett,1.22,258.7
139,Chamber,1.53,269.3
139,Raze,1.09,257.8
140,Omen,1.15,226.6
140,Viper,1.08,199.1
140,Phoenix,1.32,257.7
141,Skye,0.97,187.1
141,Raze,1.02,225.9
141,Breach,0.97,186.1
144,Cypher,1.24,229.6
144,Jett,1.22,256
144,Raze,1.06,249.3
145,Jett,1.33,239.7
145,Omen,1.13,209.4
145,Raze,1.06,220.7
146,Jett,1.2,244.7
146,Skye,1.06,202.6
146,Reyna,1.19,250.6
147,Sova,1.2,207.9
147,Breach,1.01,173.6
147,Jett,1.22,220.6
149,Killjoy,1.01,208.2
149,Sova,1.02,212.4
149,Cypher,0.89,186
152,Sova,1.29,232.8
152,Raze,1.21,250.1
152,Skye,1.26,221.3
153,Omen,1.2,209.2
153,Jett,1.33,258.7
153,Breach,1.16,189.1
154,Sova,1.06,203.9
154,Breach,0.95,176.5
154,Sage,1.12,208.6
155,Jett,1.24,248
155,Raze,1.1,236.9
155,Sova,1.2,231.5
156,Jett,1.18,241.8
156,Sova,1.15,217.3
156,Raze,1.1,236
